,Order_ID,Customer_ID,Postal_Code,Product_ID,Sales,Quantity,Discount,Profit,Category,Sub-Category,Product_Name,Order_Date,Ship_Date,Ship_Mode,Customer_Name,Segment,Country/Region,City,State,Region,Month_Order,Day_Order,Days_Shipping,pca_1,pca_2,clusters
0,CA-2019-152156,CG-12520,42420,FUR-BO-10001798,261.96,2,0.0,41.9136,Furniture,Bookcases,Bush Somerset Collection Bookcase,2019-11-08,2019-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,11,8,3,-0.024796407606197737,-0.7627266143389285,3
1,CA-2019-152156,CG-12520,42420,FUR-CH-10000454,731.94,3,0.0,219.582,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",2019-11-08,2019-11-11,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,11,8,3,-0.011189041339775538,-0.8386601013851911,3
2,CA-2019-138688,DV-13045,90036,OFF-LA-10000240,14.62,2,0.0,6.8714,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,2019-06-12,2019-06-16,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,6,12,4,1.1173444513120447,0.6158087192439324,1
3,US-2018-108966,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2018-10-11,2018-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,10,11,7,-0.027911888468058744,-0.7777076194073539,3
4,US-2018-108966,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,2018-10-11,2018-10-18,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,10,11,7,-0.24513245337780287,0.49169470110055213,0
5,CA-2017-115812,BH-11710,90032,FUR-FU-10001487,48.86,7,0.0,14.1694,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.3361710063338261,-0.7348657618801019,2
6,CA-2017-115812,BH-11710,90032,OFF-AR-10002833,7.28,4,0.0,1.9656,Office Supplies,Art,Newell 322,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.107033065392426,0.6698318817197787,1
7,CA-2017-115812,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152,Technology,Phones,Mitel 5320 IP Phone VoIP phone,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.2931267915269407,-0.6081954902333826,2
8,CA-2017-115812,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.0778210881637151,0.7898668057911056,1
9,CA-2017-115812,BH-11710,90032,OFF-AP-10002892,114.9,5,0.0,34.47,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.111341026855291,0.6290558450487088,1
10,CA-2017-115812,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092,Furniture,Tables,Chromcraft Rectangular Conference Tables,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.3199802019506075,-0.5932800226944588,2
11,CA-2017-115812,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568,Technology,Phones,Konftel 250 Conference phone - Charcoal black,2017-06-09,2017-06-14,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,6,9,5,1.2931267915269407,-0.6081954902333826,2
12,CA-2020-114412,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432,Office Supplies,Paper,Xerox 1967,2020-04-15,2020-04-20,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,4,15,5,-0.24282104877049873,0.580921324643019,0
13,CA-2019-161389,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,2019-12-05,2019-12-10,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,12,5,5,0.5506367595165627,0.7047791420740033,1
14,US-2018-118983,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",2018-11-22,2018-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,11,22,4,-0.37043848372682686,0.45670217734354734,0
15,US-2018-118983,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2018-11-22,2018-11-26,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,11,22,4,-0.4039584224184028,0.6175131380859443,0
16,CA-2017-105893,PK-19075,53711,OFF-ST-10004186,665.88,6,0.0,13.3176,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2017-11-11,2017-11-18,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,11,11,7,-0.31844491855519846,0.49317177924862854,0
17,CA-2017-167164,AG-10270,84084,OFF-ST-10000107,55.5,2,0.0,9.99,Office Supplies,Storage,Fellowes Super Stor/Drawer,2017-05-13,2017-05-15,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,5,13,2,0.45341361013953246,0.5783929771814099,1
18,CA-2017-143336,ZD-21925,94109,OFF-AR-10003056,8.56,2,0.0,2.4824,Office Supplies,Art,Newell 341,2017-08-27,2017-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,8,27,5,1.0413468132226664,0.6627363204642206,1
19,CA-2017-143336,ZD-21925,94109,TEC-PH-10001949,213.48,3,0.2,16.011,Technology,Phones,Cisco SPA 501G IP Phone,2017-08-27,2017-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,8,27,5,1.2274405393571812,-0.6152910514889409,2
20,CA-2017-143336,ZD-21925,94109,OFF-BI-10002215,22.72,4,0.2,7.384,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",2017-08-27,2017-09-01,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,8,27,5,1.0121348359939555,0.7827712445355475,1
21,CA-2019-137330,KB-16585,68025,OFF-AR-10000246,19.46,7,0.0,5.0596,Office Supplies,Art,Newell 318,2019-12-09,2019-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,12,9,4,-0.3109467290973471,0.49349312988737826,0
22,CA-2019-137330,KB-16585,68025,OFF-AP-10001492,60.34,7,0.0,15.6884,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",2019-12-09,2019-12-13,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,12,9,4,-0.3066387676344822,0.45271709321630826,0
23,US-2020-156909,SF-20065,19140,FUR-CH-10002774,71.372,2,0.3,-1.0196,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",2020-07-16,2020-07-18,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,7,16,2,-0.5409706002442074,-0.9783574152548442,3
24,CA-2018-106320,EB-13870,84057,FUR-TA-10000577,1044.63,3,0.0,240.2649,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,2018-09-25,2018-09-30,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West,9,25,5,0.6688212782932583,-0.6878125941298907,2
25,CA-2019-121755,EH-13945,90049,OFF-BI-10001634,11.648,2,0.2,4.2224,Office Supplies,Binders,Wilson Jones Active Use Binders,2019-01-16,2019-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,1,16,4,1.0801106142304386,0.7866287420026403,1
26,CA-2019-121755,EH-13945,90049,TEC-AC-10003027,90.57,3,0.0,11.7741,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,2019-01-16,2019-01-20,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,1,16,4,1.3007991697125243,-0.5853677822420498,2
27,US-2018-150630,TB-21520,19140,FUR-BO-10004834,3083.43,7,0.5,-1665.0522,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.5568674925773531,-0.8991858644201164,3
28,US-2018-150630,TB-21520,19140,OFF-BI-10000474,9.618,2,0.7,-7.0532,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.792130378320657,0.4682783584904838,0
29,US-2018-150630,TB-21520,19140,FUR-FU-10004848,124.2,3,0.2,15.525,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.5337804601505459,-1.0564542091807239,3
30,US-2018-150630,TB-21520,19140,OFF-EN-10001509,3.264,2,0.2,1.1016,Office Supplies,Envelopes,Poly String Tie Envelopes,2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.7577196548449063,0.28408625404064125,0
31,US-2018-150630,TB-21520,19140,OFF-AR-10004042,86.304,6,0.2,9.7092,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.7629184010919461,0.34824343441915684,0
32,US-2018-150630,TB-21520,19140,OFF-BI-10001525,6.858,6,0.7,-5.715,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",2018-09-17,2018-09-21,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,9,17,4,-0.792130378320657,0.4682783584904838,0
